"Historical Burger";"Historical Tap Beers";"Historical Can Beers";"Historical Facebook Event";"Historical Sticker"
"The Bold Patriot - chorizo, sriracha mayo, cheddar cheese on a rye bun";"New Belgium Fat Tire, New Belgium Voodoo Ranger IPA, 3 Floyds Zombie Dust, Narragansett Lager";"Two Roads Two Juicy, Oskar Blues Dale's Pale Ale, Oskar Blues Old Chub, Smirnoff Ice, Natural Light";"https://www.google.com/search?q=https://facebook.com/events/5423906";"sticker988.png"
"The Crispy Patriot - chorizo, mushrooms, salsa, blue cheese crumbles on a potato bun";"Left Hand Milk Stout";"Coors Banquet, Allagash White, Angry Orchard Crisp Apple, Wicked Weed Pernicious IPA, Topo Chico Hard Seltzer";"https://www.google.com/search?q=https://facebook.com/events/4088859";"sticker699.jpg"
"The Tangy Wrangler - cheddar cheese, mushrooms, pepper jack cheese, red onion on a ciabatta roll";"Tree House Julius";"Stella Artois Cidre, Tecate, Jack Daniel's Lynchburg Lemonade, Stone Arrogant Bastard Ale, Topo Chico Hard Seltzer, 21st Amendment Brew Free! or Die IPA";"https://www.google.com/search?q=https://facebook.com/events/1306968";"sticker496.svg"
"The Bold Trapper - bacon, jalapeño poppers, guacamole, smoked brisket on a ciabatta roll";"KBS";"Chimay White, Old Style, Nutrl Watermelon, Michelob Ultra, Brooklyn Lager";"https://www.google.com/search?q=https://facebook.com/events/6196222";"sticker525.svg"
"The Hearty Titan - vegan aioli, blue cheese crumbles, BBQ sauce on a pretzel bun";"Avery The Reverend, Sierra Nevada Torpedo Extra IPA, Jester King Le Petit Prince";"Mike's Hard Lemonade, Hard Seltzer Variety Packs, Tecate, Cigar City Jai Alai IPA, Genesee Cream Ale, Surly Furious IPA";"https://www.google.com/search?q=https://facebook.com/events/1424849";"sticker627.svg"
"The Crispy Nomad - swiss cheese, bacon, pepper jack cheese, smoked brisket on a pretzel bun";"Rochefort 10";"Duvel Belgian Golden Ale, Cutwater Tequila Margarita, Bell's Oberon Ale, Tecate, Firestone Walker 805";"https://www.google.com/search?q=https://facebook.com/events/9204440";"sticker328.jpg"
"The Rich Hunter - vegan aioli, cucumber, pulled pork on a rye bun";"New Glarus Spotted Cow, WeldWerks Juicy Bits";"Stone IPA, Voodoo Ranger Juice Force IPA, 21st Amendment El Sully, Miller High Life, Two Roads Two Juicy";"https://www.google.com/search?q=https://facebook.com/events/1542158";"sticker709.jpg"
"The Cool Legend - fried egg, smoked brisket on a potato bun";"Westvleteren 12, 3 Floyds Zombie Dust, Green Flash West Coast IPA, Bell's Expedition Stout";"White Claw Hard Seltzer Mango, Ballast Point Sculpin IPA, Flying Embers Hard Kombucha, Narragansett Lager";"https://www.google.com/search?q=https://facebook.com/events/5883970";"sticker753.png"
"The Juicy Queen - goat cheese, pesto, caramelized onions on a ciabatta roll";"Hill Farmstead Susan, Sierra Nevada Torpedo Extra IPA, Monkish Foggy Glasses, Sierra Nevada Hazy Little Thing";"Truly Wild Berry Seltzer, Keystone Light, Duvel Belgian Golden Ale, Lagunitas IPA, Dogfish Head SeaQuench Ale";"https://www.google.com/search?q=https://facebook.com/events/8964941";"sticker970.svg"
"The Sweet King - pesto, pepper jack cheese, bacon jam on a sesame seed bun";"Jester King Le Petit Prince, Hill Farmstead Susan, The Alchemist Heady Topper";"21st Amendment El Sully, Smirnoff Ice, Old Style, Lagunitas IPA, Keystone Light";"https://www.google.com/search?q=https://facebook.com/events/9815673";"sticker736.png"
"The Juicy Outlaw - sriracha mayo, bacon, caramelized onions on a pretzel bun";"Oskar Blues Dale's Pale Ale, Avery The Reverend";"Sierra Nevada Hazy Little Thing, Odell 90 Shilling Ale, Genesee Cream Ale, Busch Light";"https://www.google.com/search?q=https://facebook.com/events/4169106";"sticker863.svg"
"The Zesty Trapper - pineapple-glaze, roasted red peppers, avocado on a gluten-free bun";"Goose Island Bourbon County Brand Stout";"Genesee Cream Ale, Truly Wild Berry Seltzer, Nutrl Watermelon, Voodoo Ranger Juice Force IPA, Miller High Life, Cutwater Tequila Margarita";"https://www.google.com/search?q=https://facebook.com/events/2168536";"sticker359.png"
"The Hearty Titan - vegan aioli, BBQ sauce, pesto on a kaiser roll";"Goose Island Bourbon County Brand Stout";"New Belgium Fat Tire, JuneShine Hard Kombucha, Busch Light, White Claw Hard Seltzer Mango, Shiner Bock, Narragansett Fresh Catch";"https://www.google.com/search?q=https://facebook.com/events/1736096";"sticker217.jpg"
"The Cool Patriot - caramelized onions, provolone on a gluten-free bun";"Karl Strauss Red Trolley Ale, Surly Darkness, Port Brewing Hop 15, Westvleteren 12";"Stella Artois Cidre, Cutwater Tequila Margarita, Mike's Hard Lemonade, New Belgium Voodoo Ranger IPA, Topo Chico Hard Seltzer";"https://www.google.com/search?q=https://facebook.com/events/8223334";"sticker731.jpg"
"The Rich Queen - avocado, smoked brisket, arugula on a rye bun";"Westvleteren 12, Alesmith Speedway Stout, Rochefort 10, Alesmith IPA";"21st Amendment El Sully, Sierra Nevada Pale Ale, Miller High Life, Topo Chico Hard Seltzer, Bud Ice, Smirnoff Ice";"https://www.google.com/search?q=https://facebook.com/events/6940864";"sticker567.svg"
"The Juicy Trapper - roasted red peppers, salsa on a gluten-free bun";"Firestone Walker Pivo Pils, Heineken 0.0";"Bud Ice, Fat Tire Amber Ale, Tecate, Uinta Cutthroat Pale Ale, Narragansett Fresh Catch";"https://www.google.com/search?q=https://facebook.com/events/7267519";"sticker503.png"
"The Roasted Titan - smoked brisket, roasted red peppers, crispy onion straws on a rye bun";"21st Amendment Brew Free! or Die IPA, Perennial Artisan Ales Abraxas";"Keystone Light, Jack Daniel's Lynchburg Lemonade, Victory Golden Monkey, JuneShine Hard Kombucha, Lindemans Framboise Lambic";"https://www.google.com/search?q=https://facebook.com/events/3196280";"sticker339.png"
"The Tangy King - vegan aioli, blue cheese crumbles, bacon on a kaiser roll";"Founders All Day IPA, Avery The Reverend, Pizza Port Chronic Amber Ale";"Angry Orchard Crisp Apple, Genesee Cream Ale, Lindemans Framboise Lambic, Kona Big Wave Golden Ale, Southern Tier Pumking Imperial Ale, Pabst Blue Ribbon Easy";"https://www.google.com/search?q=https://facebook.com/events/4356816";"sticker595.svg"
"The Spicy Outlaw - smoked brisket, goat cheese on a potato bun";"Dogfish Head Palo Santo Marron, Bell's Expedition Stout, Rogue Dead Guy Ale, Deschutes The Abyss";"Nutrl Watermelon, Miller High Life, Uinta Cutthroat Pale Ale, Busch Light";"https://www.google.com/search?q=https://facebook.com/events/1938248";"sticker379.svg"
"The Zesty Maverick - guacamole, cucumber on a kaiser roll";"SweetWater IPA, Port Brewing Hop 15, Jester King Le Petit Prince, Hill Farmstead Susan";"Henry's Hard Soda, Bud Ice, Jack Daniel's Lynchburg Lemonade, Bell's Oberon Ale, Cigar City Jai Alai IPA, New Glarus Moon Man";"https://www.google.com/search?q=https://facebook.com/events/8186717";"sticker138.png"
"The Smoky Voyager - pickled red cabbage, pineapple-glaze on a gluten-free bun";"Perennial Artisan Ales Abraxas, Great Lakes Dortmunder Gold, Jester King Le Petit Prince";"Corsendonk Dubbel, Red Stripe Lager, Press Seltzer, Spindrift Spiked";"https://www.google.com/search?q=https://facebook.com/events/5387091";"sticker482.png"
"The Crispy Patriot - crispy onion straws, pesto, arugula on a pretzel bun";"Founders All Day IPA, Fremont Bourbon Barrel Aged Dark Star";"Guinness Draught, Two Roads Two Juicy, Strongbow Original Dry Cider, Keystone Light, Flying Embers Hard Kombucha, Heineken 0.0";"https://www.google.com/search?q=https://facebook.com/events/1225263";"sticker604.jpg"
"The Rich Trapper - provolone, chorizo, cheddar cheese, pesto on a potato bun";"Pliny the Elder, Blue Moon Belgian White, Bell's Expedition Stout";"Twisted Tea Original, Topo Chico Hard Seltzer, Bell's Two Hearted Ale, Ska Modus Hoperandi";"https://www.google.com/search?q=https://facebook.com/events/1520522";"sticker551.jpg"
"The Savory Trapper - guacamole, pulled pork, sprouts on a pretzel bun";"Cantillon Gueuze, Creature Comforts Tropicalia, New Belgium Fat Tire";"Cutwater Tequila Margarita, Bud Ice, Mike's Hard Lemonade, Founders Kentucky Breakfast Stout, Stone IPA";"https://www.google.com/search?q=https://facebook.com/events/3377385";"sticker482.jpg"
"The Tangy Voyager - roasted red peppers, mushrooms, avocado on a brioche bun";"Dogfish Head Palo Santo Marron, Rochefort 10, Fat Tire Amber Ale, Troegs Nugget Nectar";"Southern Tier Pumking Imperial Ale, Lagunitas Daytime IPA, Angry Orchard Crisp Apple, Stone IPA";"https://www.google.com/search?q=https://facebook.com/events/3204604";"sticker371.jpg"
"The Bold Hunter - mushrooms, swiss cheese on a gluten-free bun";"Firestone Walker 805, Funky Buddha Last Snow, Green Flash West Coast IPA";"Truly Wild Berry Seltzer, Nutrl Watermelon, New Glarus Moon Man, Jack Daniel's Lynchburg Lemonade";"https://www.google.com/search?q=https://facebook.com/events/3671078";"sticker463.jpg"
"The Rich Queen - pulled pork, guacamole, caramelized onions, tzatziki sauce on a potato bun";"KBS, Fremont Bourbon Barrel Aged Dark Star, Karl Strauss Red Trolley Ale";"Press Seltzer, Henry's Hard Soda, Hard Seltzer Variety Packs, Natural Light, Delirium Tremens";"https://www.google.com/search?q=https://facebook.com/events/5006339";"sticker431.svg"
"The Cool Voyager - bacon jam, feta cheese on a pretzel bun";"Westvleteren 12, Other Half Double Dry Hopped";"Oskar Blues Dale's Pale Ale, Hard Seltzer Variety Packs, Southern Tier Pumking Imperial Ale, Miller High Life, Founders Kentucky Breakfast Stout";"https://www.google.com/search?q=https://facebook.com/events/6574607";"sticker145.svg"
"The Spicy Legend - smoked brisket, roasted red peppers, pepper jack cheese, sprouts on a brioche bun";"Prairie Artisan Ales Bomb!, Funky Buddha Last Snow";"Deschutes Fresh Squeezed IPA, Duvel Belgian Golden Ale, High Noon Pineapple, Jack Daniel's Lynchburg Lemonade, Oskar Blues Dale's Pale Ale, Corona Extra";"https://www.google.com/search?q=https://facebook.com/events/7231393";"sticker306.jpg"
"The Bold Legend - pepper jack cheese, sprouts on a sesame seed bun";"Great Lakes Edmund Fitzgerald Porter, Green Flash West Coast IPA, Sierra Nevada Hazy Little Thing";"Mike's Hard Lemonade, Southern Tier Pumking Imperial Ale, Pabst Blue Ribbon Easy, Voodoo Ranger Juice Force IPA";"https://www.google.com/search?q=https://facebook.com/events/7988971";"sticker944.png"
"The Smothered Warrior - BBQ sauce, jalapeño poppers, provolone on a rye bun";"Stone Arrogant Bastard Ale, North Coast Old Rasputin, Jester King Le Petit Prince, Sierra Nevada Torpedo Extra IPA";"Angry Orchard Crisp Apple, High Noon Pineapple, Modelo Especial, Natural Light";"https://www.google.com/search?q=https://facebook.com/events/2340400";"sticker353.png"
"The Savory Rancher - sriracha mayo, pesto, cheddar cheese on a kaiser roll";"Funky Buddha Last Snow, Modern Times Fortunate Islands, Monkish Foggy Glasses";"New Glarus Moon Man, Founders Kentucky Breakfast Stout, Press Seltzer, Coors Banquet";"https://www.google.com/search?q=https://facebook.com/events/2103935";"sticker122.svg"
"The Smothered Outlaw - blue cheese crumbles, pineapple-glaze, vegan aioli, bacon jam on a sesame seed bun";"Surly Furious IPA";"Truly Wild Berry Seltzer, Two Roads Two Juicy, Hard Seltzer Variety Packs, Twisted Tea Original, Heineken 0.0, Uinta Cutthroat Pale Ale";"https://www.google.com/search?q=https://facebook.com/events/9504103";"sticker603.svg"
"The Savory Rancher - avocado, salsa, mushrooms, tzatziki sauce on a brioche bun";"Pizza Port Chronic Amber Ale";"JuneShine Hard Kombucha, Busch Light, Oskar Blues Dale's Pale Ale, Oskar Blues Mama's Little Yella Pils, Flying Embers Hard Kombucha, Voodoo Ranger Juice Force IPA";"https://www.google.com/search?q=https://facebook.com/events/5962656";"sticker181.png"
"The Sweet Gourmet - chorizo, sriracha mayo, arugula, pulled pork on a pretzel bun";"Westvleteren 12, Green Flash West Coast IPA, New Belgium Voodoo Ranger IPA";"Sierra Nevada Hazy Little Thing, Lindemans Framboise Lambic, Narragansett Fresh Catch, Ska Modus Hoperandi, Busch Light, Surly Furious IPA";"https://www.google.com/search?q=https://facebook.com/events/7255716";"sticker544.svg"
"The Bold Queen - sprouts, pepper jack cheese on a potato bun";"Cantillon Gueuze, New Belgium Voodoo Ranger IPA, Stone Ripper Pale Ale";"Miller High Life, Lindemans Framboise Lambic, Cutwater Tequila Margarita, Guinness Draught, Mike's Hard Lemonade, Busch Light";"https://www.google.com/search?q=https://facebook.com/events/1830758";"sticker204.jpg"
"The Sassy Voyager - provolone, red onion on a rye bun";"Troegs Nugget Nectar, Fremont Bourbon Barrel Aged Dark Star, Half Acre Daisy Cutter Pale Ale, Jester King Le Petit Prince";"Ska Modus Hoperandi, Keystone Light, Blue Moon Belgian White, Guinness Draught, Press Seltzer";"https://www.google.com/search?q=https://facebook.com/events/7117764";"sticker365.png"
"The Zesty King - cucumber, pickled red cabbage, red onion, bacon on a ciabatta roll";"Port Brewing Hop 15";"Nutrl Watermelon, Keystone Light, 21st Amendment El Sully, Angry Orchard Crisp Apple, Flying Embers Hard Kombucha";"https://www.google.com/search?q=https://facebook.com/events/3509735";"sticker192.svg"
"The Roasted Voyager - pepper jack cheese, pickled red cabbage, avocado, blue cheese crumbles on a rye bun";"Victory Golden Monkey, Yuengling Lager, SweetWater 420 Pale Ale";"Narragansett Fresh Catch, Spindrift Spiked, Dogfish Head Punkin Ale, Old Style, Wicked Weed Pernicious IPA";"https://www.google.com/search?q=https://facebook.com/events/6848296";"sticker780.png"
"The Smothered Legend - roasted red peppers, salsa, cucumber on a gluten-free bun";"Avery The Reverend, Stone Ripper Pale Ale";"Stone Delicious IPA, Ska Modus Hoperandi, Simply Spiked Lemonade, Cutwater Tequila Margarita";"https://www.google.com/search?q=https://facebook.com/events/8335698";"sticker642.svg"
"The Charred Wrangler - caramelized onions, pepper jack cheese on a potato bun";"The Alchemist Heady Topper, Trillium Congress Street IPA, Goose Island Bourbon County Brand Stout, Deschutes The Abyss";"Strongbow Original Dry Cider, Jack Daniel's Lynchburg Lemonade, Tecate, Spindrift Spiked";"https://www.google.com/search?q=https://facebook.com/events/7919583";"sticker476.svg"
"The Smoky Legend - pineapple-glaze, pickled red cabbage, roasted red peppers on a sesame seed bun";"Toppling Goliath King Sue, KBS, Pliny the Elder";"Lindemans Framboise Lambic, New Glarus Moon Man, Busch Light, Corsendonk Dubbel, Miller High Life, Brooklyn Lager";"https://www.google.com/search?q=https://facebook.com/events/7613955";"sticker962.jpg"
"The Smothered Rancher - provolone, roasted red peppers, red onion, swiss cheese on a brioche bun";"Trillium Congress Street IPA, Firestone Walker Pivo Pils, Sierra Nevada Pale Ale";"Lindemans Framboise Lambic, Cutwater Tequila Margarita, New Glarus Moon Man, Tecate, Founders Kentucky Breakfast Stout";"https://www.google.com/search?q=https://facebook.com/events/4672191";"sticker719.png"
"The Roasted Trapper - sriracha mayo, avocado, bacon jam, arugula on a kaiser roll";"Left Hand Milk Stout, Rochefort 10, Orval Trappist Ale";"Red Stripe Lager, High Noon Pineapple, JuneShine Hard Kombucha, Yuengling Lager, New Belgium Voodoo Ranger IPA";"https://www.google.com/search?q=https://facebook.com/events/9133071";"sticker357.jpg"
"The Spicy Wrangler - bacon jam, chorizo on a rye bun";"Lost Abbey Devotion Ale, Rochefort 10, Russian River Blind Pig IPA, Fremont Bourbon Barrel Aged Dark Star";"Sierra Nevada Hazy Little Thing, Southern Tier Pumking Imperial Ale, Guinness Draught, Stone Arrogant Bastard Ale, Miller High Life";"https://www.google.com/search?q=https://facebook.com/events/8339108";"sticker992.png"
"The Spicy Wrangler - caramelized onions, arugula, bacon jam on a rye bun";"Orval Trappist Ale, Hill Farmstead Susan, New Glarus Spotted Cow";"Cutwater Tequila Margarita, Tecate, Delirium Tremens, Corsendonk Dubbel";"https://www.google.com/search?q=https://facebook.com/events/4227069";"sticker527.svg"
"The Cool Queen - tzatziki sauce, vegan aioli, pulled pork on a potato bun";"Societe The Pupil IPA, Karl Strauss Red Trolley Ale, Trillium Congress Street IPA, Chimay Blue";"Rogue Dead Guy Ale, Victory Golden Monkey, Founders Kentucky Breakfast Stout, Natural Light, Cutwater Tequila Margarita";"https://www.google.com/search?q=https://facebook.com/events/3119526";"sticker667.png"
"The Sweet Patriot - smoked brisket, roasted red peppers, avocado on a sesame seed bun";"Blue Moon Belgian White, Hill Farmstead Susan, Karl Strauss Red Trolley Ale, Troegs Nugget Nectar";"Simply Spiked Lemonade, Deschutes Fresh Squeezed IPA, Tecate, Wicked Weed Pernicious IPA, Dogfish Head SeaQuench Ale, Stone IPA";"https://www.google.com/search?q=https://facebook.com/events/4502324";"sticker261.svg"
"The Cool Trapper - arugula, pulled pork on a sesame seed bun";"Fat Tire Amber Ale";"Lindemans Framboise Lambic, JuneShine Hard Kombucha, Press Seltzer, Shiner Bock, Red Stripe Lager, Ska Modus Hoperandi";"https://www.google.com/search?q=https://facebook.com/events/5996874";"sticker179.jpg"
"The Rich Titan - swiss cheese, salsa on a rye bun";"Founders Breakfast Stout";"Hard Seltzer Variety Packs, Mike's Hard Lemonade, Simply Spiked Lemonade, Topo Chico Hard Seltzer";"https://www.google.com/search?q=https://facebook.com/events/7239659";"sticker543.png"
"The Charred Trapper - chorizo, red onion, mushrooms on a pretzel bun";"Cantillon Gueuze, Chimay Blue, Corona Extra";"Heineken, Pabst Blue Ribbon Easy, Sierra Nevada Pale Ale, Simply Spiked Lemonade, New Glarus Moon Man";"https://www.google.com/search?q=https://facebook.com/events/3606401";"sticker896.svg"
"The Charred Nomad - vegan aioli, pesto on a gluten-free bun";"Perennial Artisan Ales Abraxas, Port Brewing Hop 15, Toppling Goliath King Sue, Guinness Draught";"Wicked Weed Pernicious IPA, New Belgium Fat Tire, Chimay White, Uinta Cutthroat Pale Ale, Duvel Belgian Golden Ale, Two Roads Two Juicy";"https://www.google.com/search?q=https://facebook.com/events/2934853";"sticker145.png"
"The Cool Legend - jalapeño poppers, arugula on a ciabatta roll";"Surly Darkness, Half Acre Daisy Cutter Pale Ale, Cantillon Gueuze";"Miller High Life, Corsendonk Dubbel, Jack Daniel's Lynchburg Lemonade, Lindemans Framboise Lambic";"https://www.google.com/search?q=https://facebook.com/events/2165249";"sticker928.jpg"
"The Roasted Nomad - cheddar cheese, vegan aioli, salsa, goat cheese on a kaiser roll";"3 Floyds Zombie Dust";"Topo Chico Hard Seltzer, Victory Golden Monkey, Old Style, Duvel Belgian Golden Ale, Narragansett Fresh Catch, Tecate";"https://www.google.com/search?q=https://facebook.com/events/6040308";"sticker845.png"
"The Cool Voyager - mushrooms, pulled pork, pesto on a rye bun";"Stone Ripper Pale Ale, Anchor Steam Beer, Goose Island Bourbon County Brand Stout, Troegs Nugget Nectar";"Wicked Weed Pernicious IPA, Natural Light, Odell 90 Shilling Ale, Voodoo Ranger Juice Force IPA";"https://www.google.com/search?q=https://facebook.com/events/1260571";"sticker317.png"
"The Smothered Warrior - pepper jack cheese, smoked brisket on a pretzel bun";"Oskar Blues Old Chub";"Duvel Belgian Golden Ale, Spindrift Spiked, Oskar Blues Old Chub, Flying Embers Hard Kombucha, Stone IPA, Odell 90 Shilling Ale";"https://www.google.com/search?q=https://facebook.com/events/5839774";"sticker817.png"
"The Roasted Voyager - chorizo, pesto, provolone, avocado on a brioche bun";"Miller Lite, 21st Amendment Brew Free! or Die IPA, Other Half Double Dry Hopped, Toppling Goliath King Sue";"Corsendonk Dubbel, Truly Wild Berry Seltzer, Uinta Cutthroat Pale Ale, Genesee Cream Ale";"https://www.google.com/search?q=https://facebook.com/events/9515888";"sticker998.jpg"
"The Fiery Outlaw - sprouts, pepper jack cheese, jalapeño poppers, crispy onion straws on a pretzel bun";"Westvleteren 12, Firestone Walker Pivo Pils";"Coors Banquet, Corsendonk Dubbel, Miller High Life, Nutrl Watermelon, Narragansett Fresh Catch, Duvel Belgian Golden Ale";"https://www.google.com/search?q=https://facebook.com/events/1444808";"sticker891.svg"
"The Rich King - red onion, sprouts, blue cheese crumbles on a rye bun";"Modelo Especial";"Angry Orchard Crisp Apple, Hard Seltzer Variety Packs, Henry's Hard Soda, Tecate, Pabst Blue Ribbon Easy, Old Style";"https://www.google.com/search?q=https://facebook.com/events/6454570";"sticker110.svg"
"The Juicy Queen - tzatziki sauce, sprouts, mushrooms, pesto on a ciabatta roll";"Alesmith IPA, Orval Trappist Ale, Sam Adams Boston Lager";"Ska Modus Hoperandi, Tecate, Cigar City Jai Alai IPA, Press Seltzer";"https://www.google.com/search?q=https://facebook.com/events/5308197";"sticker370.jpg"
"The Rich Outlaw - tzatziki sauce, cucumber on a potato bun";"Yuengling Lager, Goose Island Bourbon County Brand Stout";"Smirnoff Ice, Delirium Tremens, Bud Ice, Oskar Blues Mama's Little Yella Pils";"https://www.google.com/search?q=https://facebook.com/events/1952551";"sticker867.jpg"
"The Bold Warrior - jalapeño poppers, cheddar cheese, vegan aioli on a brioche bun";"Fat Tire Amber Ale";"Ska Modus Hoperandi, Southern Tier Pumking Imperial Ale, Smirnoff Ice, Twisted Tea Original, Delirium Tremens";"https://www.google.com/search?q=https://facebook.com/events/5377671";"sticker874.jpg"
"The Savory Rancher - crispy onion straws, fried egg, swiss cheese on a kaiser roll";"The Alchemist Heady Topper";"Victory Golden Monkey, Busch Light, Stella Artois, Simply Spiked Lemonade";"https://www.google.com/search?q=https://facebook.com/events/4034767";"sticker426.jpg"
"The Fiery Patriot - red onion, feta cheese, smoked brisket, fried egg on a potato bun";"Stone Ripper Pale Ale, Jester King Le Petit Prince, Perennial Artisan Ales Abraxas, Port Brewing Hop 15";"Yuengling Lager, Topo Chico Hard Seltzer, Odell 90 Shilling Ale, Spindrift Spiked";"https://www.google.com/search?q=https://facebook.com/events/9641234";"sticker583.png"
"The Roasted Hunter - avocado, pickled red cabbage, salsa, feta cheese on a potato bun";"Westvleteren 12, Surly Darkness";"Red Stripe Lager, Corsendonk Dubbel, Delirium Tremens, Twisted Tea Original";"https://www.google.com/search?q=https://facebook.com/events/5022059";"sticker670.svg"
"The Charred Legend - roasted red peppers, sprouts, fried egg on a potato bun";"Societe The Pupil IPA, Great Lakes Dortmunder Gold";"Truly Wild Berry Seltzer, Bell's Two Hearted Ale, Nutrl Watermelon, Bell's Oberon Ale, Smirnoff Ice, Old Style";"https://www.google.com/search?q=https://facebook.com/events/2216079";"sticker907.png"
"The Sassy Wrangler - sprouts, pineapple-glaze, crispy onion straws on a kaiser roll";"Perennial Artisan Ales Abraxas";"Genesee Cream Ale, New Belgium Voodoo Ranger IPA, Coors Banquet, Chimay White";"https://www.google.com/search?q=https://facebook.com/events/6005668";"sticker179.svg"
"The Sassy Titan - sprouts, bacon jam, pulled pork on a ciabatta roll";"Pabst Blue Ribbon";"Press Seltzer, Duvel Belgian Golden Ale, Lindemans Framboise Lambic, Lagunitas Daytime IPA";"https://www.google.com/search?q=https://facebook.com/events/6906330";"sticker414.png"
"The Rich Titan - salsa, roasted red peppers, mushrooms on a ciabatta roll";"Firestone Walker Pivo Pils, Societe The Pupil IPA, Half Acre Daisy Cutter Pale Ale, Yuengling Lager";"White Claw Hard Seltzer Mango, Miller Lite, High Noon Pineapple, Corsendonk Dubbel, Hard Seltzer Variety Packs, Sierra Nevada Pale Ale";"https://www.google.com/search?q=https://facebook.com/events/1029711";"sticker886.png"
"The Charred Maverick - sriracha mayo, cheddar cheese, blue cheese crumbles, pulled pork on a kaiser roll";"Monkish Foggy Glasses";"Busch Light, Twisted Tea Original, Henry's Hard Soda, Nutrl Watermelon, Anchor Steam Beer";"https://www.google.com/search?q=https://facebook.com/events/5435628";"sticker881.jpg"
"The Bold Rancher - sriracha mayo, BBQ sauce on a rye bun";"Bell's Expedition Stout, Narragansett Lager";"Bell's Two Hearted Ale, Kona Big Wave Golden Ale, High Noon Pineapple, Truly Wild Berry Seltzer, 21st Amendment El Sully";"https://www.google.com/search?q=https://facebook.com/events/8907708";"sticker246.jpg"
"The Tangy Hunter - pulled pork, pepper jack cheese on a brioche bun";"Miller Lite, Surly Darkness, New Belgium Fat Tire, Monkish Foggy Glasses";"Narragansett Fresh Catch, Shiner Bock, Bell's Oberon Ale, Stella Artois, Henry's Hard Soda, Chimay White";"https://www.google.com/search?q=https://facebook.com/events/7566235";"sticker794.jpg"
